date,fips,cases,deaths
2020-01-21,53,1,0
2020-01-22,53,1,0
2020-01-23,53,1,0
2020-01-24,70,2,0
2020-01-25,76,3,0
2020-01-26,80,5,0
2020-01-27,80,5,0
2020-01-28,80,5,0
2020-01-29,80,5,0
2020-01-30,80,6,0
2020-01-31,80,7,0
2020-02-01,105,8,0
2020-02-02,105,11,0
2020-02-03,105,11,0
2020-02-04,105,11,0
2020-02-05,160,12,0
2020-02-06,160,12,0
2020-02-07,160,12,0
2020-02-08,160,12,0
2020-02-09,160,12,0
2020-02-10,160,13,0
2020-02-11,160,13,0
2020-02-12,208,14,0
2020-02-13,208,15,0
2020-02-14,208,15,0
2020-02-15,208,15,0
2020-02-16,208,15,0
2020-02-17,239,25,0
2020-02-18,239,25,0
2020-02-19,239,25,0
2020-02-20,239,27,0
2020-02-21,239,30,0
2020-02-22,239,30,0
2020-02-23,239,30,0
2020-02-24,239,43,0
2020-02-25,288,45,0
2020-02-26,288,60,0
2020-02-27,288,60,0
2020-02-28,329,65,0
2020-02-29,329,70,1
2020-03-01,421,88,3
2020-03-02,467,104,6
2020-03-03,504,125,10
2020-03-04,538,161,12
2020-03-05,649,228,12
2020-03-06,857,311,15
2020-03-07,1018,428,19
2020-03-08,1046,547,22
2020-03-09,1107,748,26
2020-03-10,1179,1018,31
2020-03-11,1351,1263,37
2020-03-12,1376,1668,43
2020-03-13,1495,2224,50
2020-03-14,1573,2898,60
2020-03-15,1639,3600,68
2020-03-16,1639,4507,91
2020-03-17,1693,5906,117
2020-03-18,1693,8350,162
2020-03-19,1693,12393,212
2020-03-20,1693,18012,277
2020-03-21,1693,24528,360
2020-03-22,1693,33073,458
2020-03-23,1693,43505,579
2020-03-24,1693,53938,785
2020-03-25,1693,68572,1054
2020-03-26,1693,85570,1353
2020-03-27,1693,102900,1770
2020-03-28,1762,123966,2300
2020-03-29,1762,142486,2718
2020-03-30,1762,163955,3368
2020-03-31,1762,188461,4304
2020-04-01,1762,215391,5325
2020-04-02,1762,245108,6541
2020-04-03,1762,277426,7932
2020-04-04,1762,312525,9488
2020-04-05,1762,338141,10856
2020-04-06,1762,369057,12382
2020-04-07,1762,399394,14616
2020-04-08,1762,431214,16701
2020-04-09,1762,465913,18821
2020-04-10,1762,499386,21084
2020-04-11,1762,531106,23168
2020-04-12,1762,558249,24849
2020-04-13,1762,584018,26613
2020-04-14,1762,610709,29318
2020-04-15,1762,640742,32070
2020-04-16,1762,672355,34419
2020-04-17,1762,703864,36708
2020-04-18,1762,732262,38659
2020-04-19,1762,757596,40179
2020-04-20,1762,784991,42016
2020-04-21,1762,810505,44688
2020-04-22,1762,839336,47059
2020-04-23,1762,873112,49228
2020-04-24,1762,909853,51360
2020-04-25,1762,944261,53327
2020-04-26,1762,970996,54580
2020-04-27,1762,994193,56022
2020-04-28,1762,1018844,58416
2020-04-29,1762,1045399,60930
2020-04-30,1762,1075756,63140
2020-05-01,1762,1109726,64902
2020-05-02,1762,1139200,66485
2020-05-03,1762,1165340,67816
2020-05-04,1762,1187302,68905
2020-05-05,1762,1211011,71139
2020-05-06,1762,1235517,73847
2020-05-07,1762,1263995,75805
2020-05-08,1762,1291643,77380
2020-05-09,1762,1316511,78834
2020-05-10,1762,1336828,79766
2020-05-11,1762,1354449,80748
2020-05-12,1762,1376749,82400
2020-05-13,1762,1397894,84168
2020-05-14,1762,1424856,85906
2020-05-15,1762,1451093,87499
2020-05-16,1762,1474752,88724
2020-05-17,1762,1493766,89568
2020-05-18,1762,1515593,90414
2020-05-19,1762,1536570,91934
2020-05-20,1762,1559640,93411
2020-05-21,1762,1585373,94722
2020-05-22,1762,1609172,96010
2020-05-23,1762,1631440,97060
2020-05-24,1762,1651471,97680
2020-05-25,1762,1670571,98190
2020-05-26,1762,1689467,98937
2020-05-27,1762,1708211,100422
2020-05-28,1762,1730723,101622
2020-05-29,1762,1755271,102812
2020-05-30,1762,1778668,103775
2020-05-31,1762,1799302,104379
2020-06-01,1762,1821199,105113
2020-06-02,1762,1841990,106195
2020-06-03,1762,1861977,107184
2020-06-04,1762,1883593,108192
2020-06-05,1762,1912302,109304
2020-06-06,1762,1934818,110032
2020-06-07,1762,1953434,110422
2020-06-08,1762,1971641,111144
2020-06-09,1762,1990446,112174
2020-06-10,1762,2013298,113103
2020-06-11,1762,2036500,113980
2020-06-12,1762,2061993,114759
2020-06-13,1762,2087327,115451
2020-06-14,1762,2106457,115768
2020-06-15,1762,2126574,116216
2020-06-16,1762,2151459,116985
2020-06-17,1762,2177114,117746
2020-06-18,1762,2205173,118473
2020-06-19,1762,2236009,119171
2020-06-20,1762,2268034,119717
2020-06-21,1762,2294413,119974
2020-06-22,1762,2324879,120334
2020-06-23,1762,2359939,121167
2020-06-24,1762,2396928,121934
2020-06-25,1762,2438101,124400
2020-06-26,1762,2483629,125033
2020-06-27,1762,2525928,125544
2020-06-28,1762,2565436,125815
2020-06-29,1762,2604932,126162
2020-06-30,1762,2653321,127462
2020-07-01,1762,2703296,128104
2020-07-02,1762,2758855,128827
2020-07-03,1762,2816009,129418
2020-07-04,1762,2866015,129679
2020-07-05,1762,2910782,129941
2020-07-06,1762,2958098,130332
2020-07-07,1762,3012182,131290
2020-07-08,1762,3071637,132238
2020-07-09,1762,3131526,133079
2020-07-10,1762,3199753,133907
2020-07-11,1762,3260474,134582
2020-07-12,1762,3318279,134977
2020-07-13,1762,3379846,135402
2020-07-14,1762,3445448,136356
2020-07-15,1762,3513790,137327
2020-07-16,1762,3589477,138285
2020-07-17,1762,3660400,139186
2020-07-18,1762,3722851,139961
2020-07-19,1762,3785126,140373
2020-07-20,1762,3845014,140904
2020-07-21,1762,3910291,142031
2020-07-22,1762,3980030,143167
2020-07-23,1762,4050036,144283
2020-07-24,1762,4123561,145429
2020-07-25,1762,4190337,146313
2020-07-26,1762,4244554,146753
2020-07-27,1762,4303735,148449
2020-07-28,1762,4366851,149776
2020-07-29,1762,4433633,151172
2020-07-30,1762,4502581,152433
2020-07-31,1762,4571669,153862
2020-08-01,1762,4628497,154917
2020-08-02,1762,4679291,155337
2020-08-03,1762,4726775,155945
2020-08-04,1762,4780324,157301
2020-08-05,1762,4834047,158554
2020-08-06,1762,4891561,159625
2020-08-07,1762,4952718,160981
2020-08-08,1762,5007958,161947
2020-08-09,1762,5056438,162486
2020-08-10,1762,5103611,163023
2020-08-11,1762,5156968,164474
2020-08-12,1762,5211246,165952
2020-08-13,1762,5265307,167165
2020-08-14,1762,5324784,168341
2020-08-15,1762,5375527,169400
2020-08-16,1762,5417664,169914
2020-08-17,1762,5455187,170449
2020-08-18,1762,5498420,171798
2020-08-19,1762,5541433,173093
2020-08-20,1762,5587462,174136
2020-08-21,1762,5636491,175297
2020-08-22,1762,5681517,176247
2020-08-23,1762,5713850,176693
2020-08-24,1762,5754254,177197
2020-08-25,1762,5793437,178410
2020-08-26,1762,5838756,179603
2020-08-27,1762,5884366,180729
2020-08-28,1762,5930930,181739
2020-08-29,1762,5975540,182610
2020-08-30,1762,6008970,182984
2020-08-31,1762,6045455,183472
2020-09-01,1762,6089504,184563
2020-09-02,1762,6121948,185639
2020-09-03,1762,6168342,186717
2020-09-04,1762,6220446,187697
2020-09-05,1762,6262700,188409
2020-09-06,1762,6292699,188820
2020-09-07,1762,6317865,189083
2020-09-08,1762,6346806,189541
2020-09-09,1762,6380138,190716
2020-09-10,1762,6418198,191631
2020-09-11,1762,6465766,192858
2020-09-12,1762,6504870,193559
2020-09-13,1762,6538213,193958
2020-09-14,1762,6575100,194408
2020-09-15,1762,6614317,195689
2020-09-16,1762,6653585,196686
2020-09-17,1762,6698895,197535
2020-09-18,1762,6747782,198484
2020-09-19,1762,6789593,199154
2020-09-20,1762,6825949,199367
2020-09-21,1762,6880899,199797
2020-09-22,1762,6918290,200738
2020-09-23,1762,6959841,201828
2020-09-24,1762,7005043,202713
2020-09-25,1762,7059624,203566
2020-09-26,1762,7102321,204335
2020-09-27,1762,7139619,204602
2020-09-28,1762,7176979,204952
2020-09-29,1762,7220676,205878
2020-09-30,1762,7262734,206852
2020-10-01,1762,7309152,207699
2020-10-02,1762,7362732,208564
2020-10-03,1762,7410511,209273
2020-10-04,1762,7445574,209606
2020-10-05,1762,7507986,210035
2020-10-06,1762,7550848,210756
2020-10-07,1762,7603865,211752
2020-10-08,1762,7660248,212680
2020-10-09,1762,7719210,213595
2020-10-10,1762,7770858,214187
2020-10-11,1762,7815641,214606
2020-10-12,1762,7863657,214957
2020-10-13,1762,7918051,215783
2020-10-14,1762,7977904,216792
2020-10-15,1762,8043257,217585
2020-10-16,1762,8113720,218476
2020-10-17,1762,8166481,219154
2020-10-18,1762,8214363,219541
2020-10-19,1762,8279803,220058
2020-10-20,1762,8340397,220987
2020-10-21,1762,8404634,222195
2020-10-22,1762,8479762,223023
2020-10-23,1762,8565059,223953
2020-10-24,1762,8643640,224825
2020-10-25,1762,8703355,225164
2020-10-26,1762,8777986,225701
2020-10-27,1762,8852373,226684
2020-10-28,1762,8934258,227702
2020-10-29,1762,9024915,228706
2020-10-30,1762,9124783,229674
2020-10-31,1762,9208993,230512
2020-11-01,1762,9283188,230940
2020-11-02,1762,9377201,231480
2020-11-03,1762,9469617,232610
2020-11-04,1762,9577697,234226
2020-11-05,1762,9699030,235334
2020-11-06,1762,9831853,236582
2020-11-07,1762,9957785,237589
2020-11-08,1762,10061201,238053
2020-11-09,1762,10191642,238798
2020-11-10,1762,10331392,240262
2020-11-11,1762,10474277,241693
2020-11-12,1762,10637917,242865
2020-11-13,1762,10819414,244255
2020-11-14,1762,10978447,245465
2020-11-15,1762,11113634,246088
2020-11-16,1762,11280194,246884
2020-11-17,1762,11441828,248491
2020-11-18,1762,11614108,250415
2020-11-19,1762,11801612,252376
2020-11-20,1762,12000476,254333
2020-11-21,1762,12172410,255758
2020-11-22,1762,12313208,256601
2020-11-23,1762,12492821,257639
2020-11-24,1762,12670683,259848
2020-11-25,1762,12851273,262161
2020-11-26,1762,12954272,263339
2020-11-27,1762,13160115,264751
2020-11-28,1762,13311523,265943
2020-11-29,1762,13447648,266761
2020-11-30,1762,13615275,268031
2020-12-01,1762,13799511,270639
2020-12-02,1762,14000683,273525
2020-12-03,1762,14218409,276381
2020-12-04,1762,14449778,279018
2020-12-05,1762,14655487,281208
2020-12-06,1762,14827411,282319
2020-12-07,1762,15031907,283853
2020-12-08,1762,15251624,286674
2020-12-09,1762,15471350,289830
2020-12-10,1762,15696555,292771
2020-12-11,1762,15977087,295726
2020-12-12,1762,16184622,297981
2020-12-13,1762,16368842,299338
2020-12-14,1762,16569737,301016
2020-12-15,1762,16772856,304041
2020-12-16,1762,17017682,307652
2020-12-17,1762,17255383,310950
2020-12-18,1762,17506574,313820
2020-12-19,1762,17700479,316381
2020-12-20,1762,17880392,317810
2020-12-21,1762,18081910,319773
2020-12-22,1762,18283522,323012
2020-12-23,1762,18511286,326424
2020-12-24,1762,18704812,329248
2020-12-25,1762,18805766,330377
2020-12-26,1762,19022628,332023
2020-12-27,1762,19174718,333253
2020-12-28,1762,19363727,335152
2020-12-29,1762,19564756,338780
2020-12-30,1762,19793717,342588
2020-12-31,1762,20024710,346050
2021-01-01,1762,20171964,347970
2021-01-02,1762,20463577,350343
2021-01-03,1762,20665361,351694
2021-01-04,1762,20917191,353743
2021-01-05,1762,21152184,357432
2021-01-06,1762,21408154,361396
2021-01-07,1762,21688491,365507
2021-01-08,1762,21989270,369402
2021-01-09,1762,22241190,372663
2021-01-10,1762,22449490,374440
2021-01-11,1762,22675806,376488
2021-01-12,1762,22905783,380894
2021-01-13,1762,23135111,384824
2021-01-14,1762,23374612,388804
2021-01-15,1762,23614464,392553
2021-01-16,1762,23816662,395894
2021-01-17,1762,23986756,397624
2021-01-18,1762,24127890,399065
2021-01-19,1762,24314829,401836
2021-01-20,1762,24500317,406216
2021-01-21,1762,24690800,410351
2021-01-22,1762,24882367,414082
2021-01-23,1762,25050285,417404
2021-01-24,1762,25179961,419219
2021-01-25,1762,25336537,421126
2021-01-26,1762,25487166,425223
2021-01-27,1762,25642939,429326
2021-01-28,1762,25809117,433194
2021-01-29,1762,25973732,436794
2021-01-30,1762,26107532,439435
2021-01-31,1762,26221333,441299
2021-02-01,1762,26363188,443249
2021-02-02,1762,26478424,446860
2021-02-03,1762,26598610,450703
2021-02-04,1762,26724243,455820
2021-02-05,1762,26853745,459390
2021-02-06,1762,26958695,462052
2021-02-07,1762,27045977,463353
2021-02-08,1762,27138963,464936
2021-02-09,1762,27235341,468106
2021-02-10,1762,27330314,471360
2021-02-11,1762,27435949,475238
2021-02-12,1762,27535578,480701
2021-02-13,1762,27620237,484073
2021-02-14,1762,27684018,485154
2021-02-15,1762,27739291,486148
2021-02-16,1762,27803826,487855
2021-02-17,1762,27873987,490326
2021-02-18,1762,27945779,492951
2021-02-19,1762,28023791,495572
2021-02-20,1762,28093512,497403
2021-02-21,1762,28148692,498650
2021-02-22,1762,28208159,500104
2021-02-23,1762,28280068,502432
2021-02-24,1762,28354261,505642
2021-02-25,1762,28432143,508107
2021-02-26,1762,28510461,510283
2021-02-27,1762,28573136,511850
2021-02-28,1762,28624042,512979
2021-03-01,1762,28680738,514404
2021-03-02,1762,28738382,515710
2021-03-03,1762,28804995,518079
2021-03-04,1762,28872278,520028
2021-03-05,1762,28937976,522511
2021-03-06,1762,28994562,523970
2021-03-07,1762,29034627,524646
2021-03-08,1762,29129140,525466
2021-03-09,1762,29185027,527351
2021-03-10,1762,29243222,528825
2021-03-11,1762,29305608,530349
2021-03-12,1762,29369776,532054
2021-03-13,1762,29419333,533927
2021-03-14,1762,29457322,534496
2021-03-15,1762,29514486,535245
2021-03-16,1762,29569017,536490
2021-03-17,1762,29627949,537667
2021-03-18,1762,29688415,539225
2021-03-19,1762,29749038,540739
2021-03-20,1762,29803463,541511
2021-03-21,1762,29837656,541959
2021-03-22,1762,29892372,542607
2021-03-23,1762,29949119,543500
2021-03-24,1762,30029022,545090
2021-03-25,1762,30098132,546360
2021-03-26,1762,30172633,547620
2021-03-27,1762,30233334,548400
2021-03-28,1762,30277849,548890
2021-03-29,1762,30348588,549575
2021-03-30,1762,30410820,550522
2021-03-31,1762,30478758,551657
2021-04-01,1762,30555951,552614
2021-04-02,1762,30624540,553570
2021-04-03,1762,30688676,554323
2021-04-04,1762,30725499,554595
2021-04-05,1762,30802093,555125
2021-04-06,1762,30864065,556034
2021-04-07,1762,30937160,558605
2021-04-08,1762,31017610,559607
2021-04-09,1762,31099193,560553
2021-04-10,1762,31163951,561257
2021-04-11,1762,31211928,561558
2021-04-12,1762,31283860,562023
2021-04-13,1762,31361175,563006
2021-04-14,1762,31436928,563941
2021-04-15,1762,31510622,564858
2021-04-16,1762,31588976,565793
2021-04-17,1762,31642850,566470
2021-04-18,1762,31684251,566828
2021-04-19,1762,31754513,567313
2021-04-20,1762,31817925,569109
2021-04-21,1762,31878030,568985
2021-04-22,1762,31944272,569896
2021-04-23,1762,32008056,570769
2021-04-24,1762,32058524,571494
2021-04-25,1762,32092115,571776
2021-04-26,1762,32139450,572255
2021-04-27,1762,32191325,572968
2021-04-28,1762,32246143,573902
2021-04-29,1762,32303725,574776
2021-04-30,1762,32362242,575636
2021-05-01,1762,32407001,576351
2021-05-02,1762,32436634,576663
2021-05-03,1762,32486577,577122
2021-05-04,1762,32527532,578029
2021-05-05,1762,32572251,578805
2021-05-06,1762,32619943,579637
2021-05-07,1762,32667435,580449
2021-05-08,1762,32701101,581053
2021-05-09,1762,32723429,581299
2021-05-10,1762,32759986,581669
2021-05-11,1762,32794028,582362
2021-05-12,1762,32829512,583210
2021-05-13,1762,32867945,583990
2021-05-14,1762,32908916,584722
2021-05-15,1762,32937966,585281
2021-05-16,1762,32954676,585573
2021-05-17,1762,32983883,585957
2021-05-18,1762,33011746,586824
2021-05-19,1762,33040552,587499
2021-05-20,1762,33070165,588153
2021-05-21,1762,33099177,588849
2021-05-22,1762,33117493,589328
2021-05-23,1762,33131644,589517
2021-05-24,1762,33157272,589934
2021-05-25,1762,33180089,590634
2021-05-26,1762,33203492,591600
2021-05-27,1762,33231235,592941
2021-05-28,1762,33252929,593700
2021-05-29,1762,33264460,594039
2021-05-30,1762,33271903,594170
2021-05-31,1762,33277460,594320
2021-06-01,1762,33300002,594840
2021-06-02,1762,33316877,595438
2021-06-03,1762,33336374,596056
2021-06-04,1762,33352885,596605
2021-06-05,1762,33363322,596967
